userName,score,at,content
Pengguna Google,1,2024-11-17 13:27:02,oyy karyawan lu ngapain aja sih bug token event 11.11 udh 24 jam gak di bener - benerin masa iya harus nunggu tanggal 20 kasian yg udh top up belom tentu juga kompensasi nya bener entar ujung² nya malah di kasih magic dust klo kga tiket lucky spin.
Pengguna Google,1,2024-11-17 12:56:24,"Koq bisa bisanya ada event abal abal kek even 11.11 gitu ya, udah beli diamond tapi gak bisa klaim token, mulai hari ini gak usahlah kalian ikut ikutan event abal abalnya montoon, yg kek gini nih yang bikin player playernya lari ke game sebelah"
Pengguna Google,2,2024-11-17 09:58:32,"Bagus sih gamenya tapi tolong perhatikan di mode Clasik/ renk, tolong kasih musuh dan tim nya yang imbang dong masa musuh seperti mitik IMO tim kaya pangkat Grandmaster. Tolong lain kali kasih tim yang se imbang dong monton jangan pilikasi dong plis di baca.!!!"
Pengguna Google,1,2024-11-17 09:30:44,"Kalo mau menag terus harus top up berapa min? Jawab ya,, Saya tau game ini khusus yg top up,,yng gratisan buat hiburan,bagi yang top up,,"
Tasbih Alfaizi,1,2024-11-17 07:58:21,"Buat game bener dikit ngapa, masa HP gw panas dikit ngelag sedangkan HOK HP gw yg sudah panas aja ga ada ngelag ngelag nya, dan itu pun jaringan gw aman aman aja lu buat game yg bener tolil"
Pengguna Google,1,2024-11-17 07:30:53,Game ini bagus untuk anda yg ingin menjadi orang gila saya sangat tidak senang game ini di buat karna game ini buriq sistem nya tidak bagus. Apa hubungan nya kalo kita jago dan sistem ml memberi match bersama 4 darksystem? Apakan agar tidak banyak orang yg ke imo dan setelah itu pensi? Itu salah besar malah karna system yg di buat (losetreak gegara di gabung darksystem) itu player banyak yang pensiun karna kesal dan itu bagus untuk anda yg ingin memainkan game ini kara pencipta game ini juga to
Pengguna Google,1,2024-11-17 05:58:18,Tiap hari dikasih bintang tapi ilang pas menang eh kalah moonton itu gk selalu baik kepada kita dm kuning nya yaa walaupun cuman beli 1 aja dh pakek dm asli mahal moonton itu buat skin atau herokek semuanya itu harus pakek dm dan itupun buat kita makin miskin ws 3x dh seneng ls 5x nangis itu pun kyk gua kalah 5x nangis kayak moonton itu gk baik trs sama kita.
Pengguna Google,4,2024-11-17 02:43:04,"Tolong lah moonton kalo kita yang MVP kalah gak usah di kurangi dong bintang nya cape kita yang udah main bagus bagus tapi tim malah main nya ngetroll, ini juga moonton buat yang ngetroll ban aja akun nya biar dia gak main nyusahin orang aja"
Pengguna Google,3,2024-11-17 00:29:37,"Gamenya cukup bagus tapi banyak lag padahal wifi bagus bagus aja,sama kalau kasih tim yang seimbang kadang musuh ranknya lebih tinggi sama tim ranknya rendah"
Pengguna Google,1,2024-11-16 13:36:12,"Game ampas dapat tim gak ngotak dark sistem sedangkan musuh gak ngotak jago nya tolong lah moonton (babi) ngasi tim itu yang seimbang ,kalo gini terus mending main hok aja (game ampas,cacat,jaringan gak ngotak ngelagnya)"
Pengguna Google,3,2024-11-16 06:34:52,Moonton tolong perbaiki bug grafik ultra tapi tidak hd efeknya padahal udah download data semua tapi tetap gabisa bukan saya doang tapi temen saya semua pada gabisa hd saat pakai grafik ultra Tolong perbaiki secepatnya
Pengguna Google,1,2024-11-15 17:32:10,Main solo tim musuh jago semua tapi tim sendiri malah dapat yang DARK SISTEM mulu kalau gini terus Mendingan Pindah di HONOR OF KING aja lebih seru dari pada MOBILE LEGENDS
Pengguna Google,1,2024-11-15 14:27:35,"Tolong moonton untuk jaringannya, wifi dh lancar tpi tiap maen pasti lag ping pasti di angka 201 dan suka diam sendiri, pls moonton perbaiki yang membuat gamemu rating rendah jga karena ini"
Pengguna Google,1,2024-11-15 11:07:43,"sebenernya ini game klo update yg di bnrin apanya sih?, bug masih aja ada apalagi bug jaringan itu ganggu banget sih buat main bikin ga nyaman banget bukanya update itu buat benerin bug dll ya??"
Pengguna Google,1,2024-11-15 10:03:57,"orang main game untuk menghilangkan stres, tapi tidak untuk game satu ini, matchmaking tidak seimbang membuat tim berat sebelah ( 1 tim jago semua sedangkan tim yg lain sangat buruk dalam permainan) kadang kadang juga player yang winrate nya rendah dipertemukan dengan yang winrate nya tinggi sehingga merugikan player yang winrate yg tinggi"
Pengguna Google,1,2024-11-15 09:59:43,"Tolong beri lawan yang sama dengan rank player, banyak orang mengeluh karena adanya tim yang beda level, sekian terima kasih, moonton babi"
Pengguna Google,1,2024-11-15 09:55:57,"Biar ku perjelas, Kendala atau hal yang paling bikin kita para player ml kecewa adalah soal jaringan, Walau di tes kecepatan jaringan menunjukkan kecepatan jaringan Untuk game sangat baik tapi di Game Mobile legen tetap mengalami lag (Ping merah 200+). Kemudian percocokan tim, selalu di beri tim yang rebutan Lane, kalau bisa buat tim yang memiliki Lane berbeda"
Pengguna Google,3,2024-11-15 09:52:09,Game nya banyak dari sistem. Dan sinyal yang gak normal. Padahal sinyal saya bagus dan memori saya tidak penuh tapi masih aja ngerasa ngelek jadi tidak nyaman saat bermain rank kalo gini
Pengguna Google,1,2024-11-15 09:51:08,Game gk jelas aku gk salah apaa apa padahal tim nya yg gk bisa main aku yang gk di ban di rank tolong perbaaiki semennjak update jadi tambah gk jelas.masa main dari kemarin gk pernah menang tim nya lah di perbaiki dari lagend 1 turun sampe legend 2 bintang 0 tolong lah monton perbaiki nanti saya kasih bintang 5.
Pengguna Google,1,2024-11-15 09:46:03,"game gajelas,masa ya aku pas lari lag,padahal baru download apk ini doang,iya game nya cuma ini tapi lag,satu lagi Jaringgan nya mungkin bisa diperbaiki ya,maaf aku kasi b 1 karena gaje,burik,pokoknya gaje lah ya intinya tolong di perbaiki game gajelas ini,kalo misalnya ada yang ga terima maaf karena ini fakta"
Pengguna Google,1,2024-11-15 09:45:43,gem nya bagus tapi mohon di perbaiki lagi sinyal nya setiap saya main gem ini sinyal nya selalu buruk padahal saya sudah menggunakan wifi
Pengguna Google,1,2024-11-15 09:30:56,"game rusak , org main bukanya cari menang malah cari kalah tolong atur lah matchmaking nya supaya yg main solo Adil , dpt tim yang waras, klo berat sebelah susah menanginya mau sesakit apapun tu Hero Klo dh late game tpi ada satu atau 2 org yg ngetrol itu susah dan udh pasti match itu kalah dan yg main serius pasti bakal kesel krna udh cpe"" main mlh di trol gitu aja ntah itu ngasih kill mlu , milih Hero semaunya Klo g dpt role yg dia mau ngetrol atau maksa pke role yg dia mau"
Pengguna Google,1,2024-11-15 09:25:56,"maaf gue kasih 1 b karena masalanya itu"" aja ,selalu jumpa tim yg gk jelas kanyak playrr baru main ,capek gue solo renk jumpa tim gk jls dri kemarin selalu ini aja masalah y , trus masalah jaringan kadang suka leg padahal jaringan sya bagus ,maaf moonton kalo gk ada perubahan sy uninstal ni game"
Pengguna Google,5,2024-11-15 09:21:09,"Game ini sangat menyenangkan selain memberikan rasa hiburan ،tapi game ini juga memberiku kesadaran dimana bahwa aku ini memang payah dalam sesatu menyadarkan diriku tuk tidak terlalu jauh dalam emosi dan selalu memberikan cobaan yang memberikan kesadaran penuh ,ternyata selama ini aku butuh lebih banyak latihan dan pengalaman ,meskipun terhalang oleh device tapi aku tidak berhenti tuk mencoba hal baru di mana diriku ingin menjadi seorang pro player."
Pengguna Google,2,2024-11-15 09:20:41,"apalah monton hp aku ram 8 kok ngeleg si apalagi kalo lagi war hp aku ada suara mesin cukur, padahal penyimpanan nya masih banyak yg kosong, tolong di perbaiki lagi monton plis"
Pengguna Google,1,2024-11-15 09:13:36,Algoritma yang bodoh. Tidak bisa menyesuaikan lawan yang diperoleh cenderung tidak seimbang. Harus bisa bedakan mana yang pro mana yg cuma isi waktu luang.
Pengguna Google,1,2024-11-15 08:52:03,Woi monton kasih gw tim yg bagus gw selalu nemu dark sistem di mobile legends gw juga sering nemu musuh yg jago sedangkan tim saya bot moonton tolong kasih gw win streak Akun gw namanya £eo• woi moonton
Ardicka Rizky,1,2024-11-15 08:51:36,"game kon***, tim gw drak sistem anjeng, team lawan lebih kuat, jadi kena comeback as*, laen kali benerin lah system nya monton, ppq, gw jadi legend bintang 0 as*"
Pengguna Google,3,2024-11-15 08:34:43,ini ulasan saya dan maaf kalo menyinggung owner jadi kenapa moonton di jaringannya ijo tapi nge lag dan juga kenapa suka ada orang pake melisa roam ke zilong roam ke lance juga roam napa dh dan kenapa ngelag terus selama match dan juga kenapa juga tuh hero nya kadang kadang gerak sendiri dan ke napa banyak yg troll itu ulasan saya sekian terimakasih
Pengguna Google,1,2024-11-15 08:23:55,Moonton gimana si hp gw keluar sendiri trs login ulang ke game nya malah gw kena afk padahal sebentar gw udh kumpulil skor kredit selama 6 hari malah di turunin lagi cape gw ton
Pengguna Google,5,2024-11-15 08:20:29,"Game nya bagus banget monton tapi saya boleh sarani kebih baik loby nya di buat seperti dulu tahun 2020 han deh lebih antik, dan saya oun kangen oleh masa2 itu, mohon bantuannya 🙏🙏🙏"
Pengguna Google,5,2024-11-15 08:16:14,"Ko sekarang tambah ribet yaa...monton kenapa sih sekarang barusan di abdet ko malah tambah ngeleg dan patah2 sih jaringan waifi sama data sama aja ko ngelak pas lagi main... Kalo ngga main biasa aja bagus pas lagi war pasti ngeleg...di tambah lagi sekarang malah datanx semakin bertambah sampai 5 GB. Sihhh,mohon penjelasanx monton."
Kingg Nando boy,1,2024-11-15 08:08:42,Oi Monton jangan apdet trs. Dong sistem lu tuh benerin wifi gw dah full masa masih lag giliran mati ga lag aneh
Pengguna Google,2,2024-11-15 08:08:21,tolong lah moonton matcmaking nya di perbaiki dari tadi main role nya nabrak terus main 10 kali yang menang cuma sekali tolong lah moonton kalo gini terus bisa bisa pindah game
Pengguna Google,3,2024-11-15 07:54:55,Gue kasih bintang 4 karna dulu monton baik kali kasih kita banyak skin geratis tapi sekarang udah tidak lagi padahal ada beberapa pemain yang baru main mlbb kaga dapat skin geratisnya dan juga baru baru ini saya main jaringan say baik tapi tidak dapat masuk dalam permainan dan di kasih sang sih keredit sekor di kurangi dari 97 ke 91 dan gak bisa naik naik keredit sekornya
YOLANTIN,1,2024-11-15 07:52:16,"Makin kesini makin kacau ni game, sering ngelag padahl jaringan bagus. Sumpahh makin anehhh"
Pengguna Google,1,2024-11-15 07:48:44,"Game sampah, enggak setara team sama musuhnya cuihh, setarakan skillnya antara team musuh dan team teman, jangan team teman bot team musuh pro, kalo bisa kasih bintang 0 saya kasih bintang 0 gara"" Skill bermain team tidak setara dengan musuh"
Pengguna Google,1,2024-11-15 07:42:10,"Parahhhhh banget sih penyesuaian montonn sangat tidak pantas, main bukannya ngilangin stresss, mlah nambahh stress, dpt tim bott Mulu, jaringan bagus malah menghubungkan ulang, kasian player solo kayak gw, tolong lahh penyesuaiannya monton, giliran event aja cepat, ""minus"""
Pengguna Google,3,2024-11-15 07:40:14,"Game ini sebenarnya bagus dari segi grafik dan pertandingan tapi kurangnya cuma satu yaitu, Saya dapat terus Tim Bot"
Pengguna Google,1,2024-11-15 07:29:32,"Game ny bagus cuma suka keluar ilang sinyal pas di game padahal internet ny bagus aja, war selalu ngelag padahal hp ny sangat mendukung bukan lag krna hp ga mendukung, pembagian komposisi tim ga sebanding sma tim musuh, sekali lagi SETIAP MAIN SOLO SELALU DI KASIH TIM BLOON YANG SEMUA CUMA BISA MAGE. TOLONG KASIH SAMA RATA DONG MONYETTT."
Pengguna Google,1,2024-11-15 07:22:59,"Game aneh, Player nya selalu di susahkan, ketika sinyal bagus di game nya jelek , lalu memberikan tim yang tidak sesuai, sistem gahca terlalu merugikan player/pemain , ada game saingan panik!!!! , berhenti update, perbaiki dulu game mu,kamu pikir kita akan terus main jika kalah terus , lebih baik main freefire atau yg lain , Hero lama gak di buff Hero baru di buff terus ,Hero yang baru dikasih skin Hero lama ada yang belum dapat skin starlight, heran aku"
Pengguna Google,1,2024-11-15 07:20:41,IM done with this game.aku juga dah suruh temen ku pindah game. ya baru 30an yang mw sih padahal 7 orang itu biasanya suka jor joran kalau ada event collab
Akmalfaqih Zaidan11,2,2024-11-15 07:20:41,Apk nya sih bagus cmn terkadang suka ngeleg knp cba? Padahal jaringan bagus aneh jadinya
Pengguna Google,1,2024-11-15 07:19:27,"Game rusak, lg di tengah tengah matc tiba tiba jaringan terputus, gak bisa di pulihkan sama sekali, mau gk mau keluar game pas masuk game lg, gak di lanjutkan matc ny, tiba tiba hilang begitu sja..."
Rizky Ramadhan,1,2024-11-15 07:15:31,Game gajelas cuihhh. Maen sinyal bagus malah putus koneksi terus kan mampus game rusak najisss
Pengguna Google,5,2024-11-15 07:13:36,Game bagus tapi musuh ama tim beda tim gua drack sistem musuh pro pro capek gw monton kasih lawan yg seimbang lhh jgn pilih kasihh. Monton monton emang game nya mau sepi dikasih musuh pro pro tim drack sistem
Pengguna Google,1,2024-11-15 06:55:18,Tolong pihak monton perbaiki gems sebisanya kalok ngasih musuh di seimbang kan entah itu reg gemplay jangan tim drag sistem musus mcl ngak ngotak emang udah sama kayak ff aja mulai banyak bug tolong untuk pihak monton di perbaiki ya 😠 dan ada satuhal kenapa sinyal lagi bagus kenceng malah ngelek sinyal merah itu tolong di perbaiki
Pengguna Google,1,2024-11-15 06:54:34,"Untuk game nya dah okelah tapi cuman jaringannya, masa gw main game online lain pin nya bagus tapi pas main nih game pin nya berubah jadi merah😂"
Pengguna Google,1,2024-11-15 06:41:32,"nih game gabisa liat player seneng karna ws, ws dikit langsung di kasih lose di tambah dark sistem."
Pengguna Google,1,2024-11-15 06:21:46,"Sejujurnya, saya udah males main ML di karenakan sistem yang sangat buruk. Mau naik immo aja harus lose streak dulu, kapan mau hapus dark system? Kalau ada dark system, pasti player² udah males untuk main game ni karena jelek."
Pengguna Google,3,2024-11-15 06:09:46,"Mending pindah game sebelah..makin lama makin ngak jelas ni game..modal skin gratisan biyar pada bertahan..jaringan buruk,dapet tim drak sistem,"
Yusnita Cantik,1,2024-11-15 06:09:09,menang 3 kali pasti kalah 3 kali game bnyk yg download tapi lebih banyak yg no like mo kluar game dihukum mo nasuk game darksystem wkk moonton2 pake nonton bokep gk ngelag giliran main ml. lagi war ngelag y modar game babi darksystem.cape2 download maen sekali kalah 4 kali game gk masuk akal gue hapus gak ada kemajuan
Pengguna Google,1,2024-11-15 05:38:50,"Kasian yang main solo termasuk gue, kalo ngasih tim yg setara dan adil bisa engga sih percuma update besar besaran, kalo yg diprioritas kan event² tanpa memikirkan kepuasan pemain/player game ini....kalo terus kaya gini gue yakin bakal hancur nih game, dan akan pindah ke game sebelah ini gimana dapet setim match 75 - 100 ...? gimna ini game...?"
Pengguna Google,2,2024-11-15 05:35:04,"Kok masih di suruh download data dalam lagi udah 5,6GB loh data dalam nya masa lanjut udah banyak loh itu 5,6GB kalau banyak² Menuhin memory headphone"
Pengguna Google,1,2024-11-15 05:23:38,"sebenarnya game ini keren tp semenjak update koq sering saat permainan berlangsung kluar sendiri sinyal bagus gak lag koq tiba"" kluar game tolong perbaiki serner gamnya monton niar gak kecewa gamers "" yng lain .lagi seru "" nya war tiba"" kluar sendiri dari game tambah lagi drap pick temqn g jelas ditrolll tros temanya kasih lve renda masa lv 76 di kasih twmen lv 20 auto keok unistal ja makin g bener jd kurang semangat"
Nurhayati Mnur,4,2024-11-15 05:22:03,Mobile legend emang se-seru itu tapi saya selalu dapat lose strake.saya sangat ingin dapat win strake
Pengguna Google,1,2024-11-15 05:02:51,Gemnya sih bagus tetapi harus download sistem yang ada di dalammnya sistem yang ada di dalam nya aku bisa habis sampai 3GB
Pengguna Google,4,2024-11-15 04:55:52,Wahh game nua bagus tapi ada sedikit masalah di matchmaking nya padahal jaringan nya ijo tapi ampe hampir dua menitan ga masuk
Pengguna Google,1,2024-11-15 04:55:22,Tolong lah hilangin dark sistem gimana kalo mau naik rank kalo begitu terus mana bisa semua org suka game ml tolong lah udh beberapa kali main tapi masih tetap kalah kalo kayak gini terus siapa yg mau main game ml?!!!!
Pengguna Google,1,2024-11-15 04:48:32,Aku main dari 2016 ...aku SDH punya akun moonton TPI Masi semuanya SDH ku atautkan..tapi Masi bisa di curi orang 😡 kecewa dengan keamanan MOONTON...sia sia beli skin .. ACC SDH lama bisa2nya di curi org... sangat kecewa..
Muhammad Sultan,1,2024-11-15 04:39:54,"Montoon coba tolong yah dark system tu di atasi gak boleh main yg dapat coklat juga,berikan fitur agar gak saling nabrak lane"
Pengguna Google,5,2024-11-15 04:30:35,"Game ini sangat bagus untuk menemani tumbuh kembang anak karna mampu membangun emosi serta melatih anak untuk mengeluarkan kata"" Mutiara yang tepat."
Pengguna Google,1,2024-11-15 04:21:17,Gamenya ngeleg banget padahal jaringannya bagus memorinya juga gk penuh apalagi kalo main magic chess pasti ngeleg banget gk rekomen deh pokoknya
Pengguna Google,1,2024-11-15 04:19:23,Lagi asyik bermain tiba² heronya gak bisa di gerakin padahal kuota dan jaringan lancar. Tolong di perbaiki. Tks
Pengguna Google,5,2024-11-15 04:06:45,Game ini sangat bagus tapi terkadang kita mendapatkan musuh yg tidak sepadan atau teman se tim yg bot mohon sedikit diperbaiki
Pengguna Google,2,2024-11-15 03:49:34,"Game ini gak bagus buat kesehatan karena terkadang dapet tim aneh dan kalo kalah bisa bikin darah tinggi,itu yang bikin game ini gak sehat,anak saya udh darah tinggi marah marah gak jelas dll di sebabkan game ini,JANGAN DOWNLOAD GAME INI,KARNA GAME NYA BIKIN ANAK KALIAN TANTRUM"
Pengguna Google,2,2024-11-15 03:41:29,"Patch udah bagus nunjukin makro mikro nya tapi..... Kenapa di mitik masih kaya epik ? Moonton kalo draft selalu begini anda akan terasingi oleh HOK jujur beda banget sistem match making nya dengan HOK ,tolong di rubah lagi ya moonton hilang kan penjoki indonesia yaa ... Moonton saya player solo dari dulu gak pernah berubah matchmaking nyaa anehh banget ... Gak ada niat revisi kah atau kekurangan staff untuk menanganinyaa ?"
Pengguna Google,1,2024-11-15 03:22:17,"Game thaiii... Ga usah download, gw losestreak sampai 11x ga dikasih ampun sama sekali, capek tim yg pada ngetroll, meta yg gk jls, bintang turunn banyak. Pokoknya nguras mental bgt + nguras kuota capek Game FULL LOSESTREAK MENDING UNINSTALL"
Pengguna Google,5,2024-11-15 02:55:08,"Game ini sudah bagus, dikasih tim bagus semua, contohnya ada yang pick hero tigreal jadi hyper, Franco gold lane, Digie exp, dan masih banyak lagi. Asli saya yang setim dengan para pemain ini sangat kagum kalau bisa diperbanyak lagi pemain"" seperti demikian, arigatou."
eric candra,1,2024-11-15 02:32:11,"ton monton kasih gua tim yang waras napa, dari pake dikasih dark sistem mulu cape gua, minimal dikasih lawan sama tim yang sepadan bukan musuh doang yang jago, moontonn kontollll"
Pengguna Google,5,2024-11-15 02:31:16,Game nya baguss tapi beri tim yang bagus Kasi aku skin bagus Dan dikitkan dark sistem Beri aku skin dan efek recall aku dah top up moonton Tolong kasi bang moonton
Pengguna Google,5,2024-11-15 01:49:51,"gamenya seru, cocok buat ngisi waktu gabut, namun tiba-tiba FREEZE saat mabar dan harus keluar mau tidak mau dan berakibat AFK dari moonton."
Pengguna Google,4,2024-11-15 01:47:41,Gamenya bagus selama 1 th lebih saya bermain bagus tapi tolong moonton tambahkan fitur transfer bp (battle poin) (semoga di tambahin) ;)
